id,question,correctAnswer,answerA,answerB,answerC,answerD
204825,"galois theory applied symmetric type expressions, also appear vieta's formulas.",C,Hamiltonian (quantum mechanics),Group (mathematics),Polynomial,Don Giovanni
8219,"confined india almost two thousand years, described hindu physicians 400 b.c.",C,Hamiltonian (quantum mechanics),Johann Wolfgang von Goethe,Cholera,Georg Wilhelm Friedrich Hegel
8221,cytokines first recognized 1957 alick isaacs jean lindenmann.,D,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Group (mathematics),Interferon
8222,"it's preceded ball epithelial cells which, humans, cells migrate along primitive streak produce archenteron, primitive gut cavity.",B,Hamiltonian (quantum mechanics),Gastrulation,Georg Wilhelm Friedrich Hegel,Group (mathematics)
8224,bacteria circular genomes don't need them.,A,Telomere,Talcott Parsons,Determinant,Antibody
8225,"1691, reluctantly became papal personal physician.",A,Marcello Malpighi,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Group (mathematics)
8227,"composed central ribose group, purine, trailing chain three ion groups.",D,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Group (mathematics),Adenosine triphosphate
8228,"outer membrane dotted protein porin, ubiquinone cytochrome oxidase complex line folded inner membrane.",B,Glycogen,Mitochondrion,Cholesterol,Acetylcholine
204837,"landau quantization two dimensional systems explain effects due entity, produces toroidal shape tokamaks, also equal curl vector potential a.",D,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Magnetic field
8230,"typical one, tunica intima tunica media ruptured, leaving tunica adventitia containment.",D,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Aneurysm
8231,manager french sugar beet processing factory discovered first one 1833 able separate malt extract.,A,Enzyme,Group (mathematics),Hamiltonian (quantum mechanics),Don Giovanni
8233,name given corpuscle includes glomerulus bowman's capsule nephron.,B,Georg Wilhelm Friedrich Hegel,Marcello Malpighi,Hamiltonian (quantum mechanics),Group (mathematics)
8234,"event became famous took place groote schuur hospital december, 1967.",D,Group (mathematics),Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Christiaan Barnard
8237,"bacteriophage comes contact cell, inserts viral dna.",C,Hamiltonian (quantum mechanics),Group (mathematics),Lytic cycle,Georg Wilhelm Friedrich Hegel
8238,"process, main polymer takes forms 3-phosphoglycerate, 1,3-bisphosphoglycerate, g3p, ribulose bisphosphate.",B,Hamiltonian (quantum mechanics),Light-independent reactions#Calvin Cycle,Group (mathematics),Georg Wilhelm Friedrich Hegel
8239,"orphaned turned five, siblings sent st. george's hospital, trained john hunter returning, age 23, gloucestershire.",C,Don Giovanni,Hamiltonian (quantum mechanics),Edward Jenner,Group (mathematics)
8240,"humans, increases weight first two years life, puberty grows slowly weight 1.5 ounces.",B,Group (mathematics),Thymus,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
8241,"scientist contributed studies explaining absorption properties coals member british coal utilization research association, working jacques mering, researched structural changes caused formation graphite heated carbons.",B,Georg Wilhelm Friedrich Hegel,Rosalind Franklin,Hamiltonian (quantum mechanics),Group (mathematics)
204850,"one element group participates auwers synthesis interacting pi electrons alkene part addition reaction, elements bond form ""inter-"" variety.",D,Ketone,Epoxide,Boron,Halogen
8243,"originally, organism grouped viruses class microtatobiotes considered member phylum omnibacteria.",B,Group (mathematics),Rickettsia,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel
8245,"first major contribution biology came 1876, epidemic struck silesia.",D,Hamiltonian (quantum mechanics),Group (mathematics),Georg Wilhelm Friedrich Hegel,Robert Koch
106551,"ida-noddack-tacke, walter noddack, otto berg erroneously claimed isolated it, calling masurium, mendeleevs periodic table, given moniker eka-manganese.",A,Technetium,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
8248,brain class animals unusual cerebellum reduced mere band.,D,Hamiltonian (quantum mechanics),Group (mathematics),Georg Wilhelm Friedrich Hegel,Amphibian
8249,"hormone secreted posterior pituitary gland, deficiency leads diabetes insipidus.",C,Group (mathematics),Hamiltonian (quantum mechanics),Vasopressin,Don Giovanni
8250,"liphistius family maximum four pairs adult, members palpimanidae one pair.",D,Group (mathematics),Johann Wolfgang von Goethe,Hamiltonian (quantum mechanics),Spinneret (spider)
106556,"protosteles, center stem, angiosperms, rays, fibers, axial parenchyma cells make one form it.",A,Xylem,Mitochondrion,Phloem,Retina
8254,"transition zone may develop benign hyperplasia, anterior fibromuscular stroma anchoring point urethral sphincter.",C,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Prostate,Group (mathematics)
8255,midpoint constriction called isthmus.,C,Hamiltonian (quantum mechanics),Group (mathematics),Uterus,Georg Wilhelm Friedrich Hegel
8256,"catecholamine, selectively metabolized monoamine oxidase moa-b seratonin norepinephrine, although metabolic precursor latter.",B,Glycogen,Dopamine,Acetylcholine,Alcohol
8258,"consists conical central axis, modiolus, canal wound spirally around modiolus 2 3/4 turns, ending opening called cupola.",C,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Cochlea,Group (mathematics)
8259,"best studied multipotent, adult, form found bone marrow.",A,Stem cell,Don Giovanni,Group (mathematics),Hamiltonian (quantum mechanics)
8261,duct wirsung found organ secretes zymogens transform majority digestive enzymes.,C,Group (mathematics),Georg Wilhelm Friedrich Hegel,Pancreas,Hamiltonian (quantum mechanics)
8262,"good example alpha-helix protein fibrous, structural protein arranged parallel sheets held together hydrogen bonding.",C,Citric acid cycle,Infrared spectroscopy,Keratin,Adenosine triphosphate
8263,two-dimensional model structure proposed robert holley.,D,Hamiltonian (quantum mechanics),Group (mathematics),Johann Wolfgang von Goethe,Transfer RNA
8264,"first proposed french microbiologists francois jacob jacques monod early 1960s, objects generally consist group structural genes metabolic pathway located contiguously stretch dna controlled promoter.",B,RNA interference,Operon,Polymerase chain reaction,Abscisic acid
8265,"male, works testosterone affect maturation spermatozoa, female, cyclical production hormone essential ovulation.",A,Follicle-stimulating hormone,Don Giovanni,Group (mathematics),Hamiltonian (quantum mechanics)
204874,effectiveness cells products lowered hoskins effect.,B,Hamiltonian (quantum mechanics),B cell,Group (mathematics),Don Giovanni
8267,keeps body homeostasis neural signals autonomic nervous system endocrine signals sent conjunction pituitary.,A,Hypothalamus,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Group (mathematics)
8269,"composed stack five eight disk-shaped membraned vesicles, structurally polarized 'cis' face near transitional region rer 'trans' face near plasma membrane.",D,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Group (mathematics),Golgi apparatus
8270,"unborn child, functions primarily produce red blood cells, function normally ceases birth may resumed later diseases slow function bone marrow.",A,Spleen,Mitochondrion,Liver,Lysosome
8271,"ascomycetes member provides shade forms structures, including haustoria appressoria, penetrate photosynthetic cells.",D,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Lichen
8273,"significance identified 1972 kerr, wylie, currie.",A,Apoptosis,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Arrow's impossibility theorem
8274,two types blockages cause disease.,B,Group (mathematics),Glaucoma,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel
8276,"fecalith may obstruct opening organ, leading edema, bacterial multiplication, tissue necrosis.",D,Group (mathematics),Transcription (genetics),Hamiltonian (quantum mechanics),Vermiform appendix
106581,"namesake sudden warming region accompanies sudden slowing polar vortex northern hemisphere, may caused upward propagating rossby waves.",D,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Stratosphere
8280,"caused enterovirus three serotypes, it's typically transmitted contact infected saliva feces.",C,Hamiltonian (quantum mechanics),Group (mathematics),Poliomyelitis,Georg Wilhelm Friedrich Hegel
204906,"quantum mechanical operator quantity negative h-bar divided twice mass times laplacian, virial theorem calculates total amount quantity system particles.",D,Electronegativity,Thermoelectric effect#Seebeck effect,Viscosity,Kinetic energy
8303,"synthesized magnocellular neurons supraoptic paraventricular nuclei, secretion triggered stimulation organum vasculosum, subfornical organ, area postrema.",B,Group (mathematics),Vasopressin,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel
8305,early action mediated gene near centromere codes production surface molecule known h-y antigen.,A,Y chromosome,Don Giovanni,Hamiltonian (quantum mechanics),Group (mathematics)
8306,"molecules approximately 70 nucleotides long possess unique nucleotides pseudouridine, hypoxanthine, inosinic acid.",C,Group (mathematics),Don Giovanni,Transfer RNA,Hamiltonian (quantum mechanics)
8307,"following expression rag-1 gene, v j genes randomly joined formation one four major portions substances.",D,Group (mathematics),Don Giovanni,Hamiltonian (quantum mechanics),Antibody
8308,cuneiform corniculate portions immediately dorsal ventral section.,A,Larynx,Hamiltonian (quantum mechanics),Group (mathematics),Clarinet
8309,reversible portion involves isomerase enzyme act dihydroxyacetone phosphate.,C,Group (mathematics),Don Giovanni,Glycolysis,Hamiltonian (quantum mechanics)
8310,"first identified barr bertram's experiments cats, structure determined positive stain feulgen [fell-gen] reaction.",D,Group (mathematics),Hamiltonian (quantum mechanics),Don Giovanni,Barr body
8311,"gram negative bacillus 2,200 serotypes grouped three species, closely related shigella.",C,Hamiltonian (quantum mechanics),Don Giovanni,Salmonella,Group (mathematics)
8312,"although almost forms perfect cylinder, perfectly vertical; rather, member pair inclines downward inward towards other.",B,Georg Wilhelm Friedrich Hegel,Femur,Group (mathematics),Hamiltonian (quantum mechanics)
8313,"major publication, de pulmonibus, detailed study structure lung.",A,Marcello Malpighi,Group (mathematics),Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel
8314,malfunction cftr's uptake sugar groups site primary mutation associated cystic fibrosis.,D,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Group (mathematics),Endoplasmic reticulum
8315,"organ inflicted ivemark syndrome, characterized presence howell-jolly bodies, also subject storage diseases niemann-pick gaucher.",B,Group (mathematics),Spleen,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
8316,birds body contains magnetic material needed navigation.,A,Pineal gland,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
8317,experiments lederberg zinder discovered one coded p-h-e+ t-r-p+ genes.,B,Group (mathematics),Bacteriophage,G. E. Moore,Hamiltonian (quantum mechanics)
8318,abundance accounted couple reasons.,A,Alpha helix,Group (mathematics),Hamiltonian (quantum mechanics),Transcription (genetics)
8319,"following 70-year absence western hemisphere, major outbreak disease peru 1991.",D,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics),Cholera
8320,common form features chelate cyclopentanone ring esterified phytol side chain.,C,Group (mathematics),Hamiltonian (quantum mechanics),Chlorophyll a,Georg Wilhelm Friedrich Hegel
204929,"adjective describes ""stragglers"" found outside star cluster's hertzsprung-russell diagram, giants type include rigel bellatrix, typically lie main sequence.",C,Group (mathematics),Hamiltonian (quantum mechanics),Blue,Georg Wilhelm Friedrich Hegel
8324,form bloodstream breakdown hemoglobin.,A,Bile,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics)
8325,advanced eyes structures similar descartes huygens designs minimal-aberration lenses.,D,Don Giovanni,Hamiltonian (quantum mechanics),Group (mathematics),Trilobite
8326,theophylline drug used raise compound's serum levels inhibits phosphodiesterases participate compound's breakdown.,B,Claisen condensation,Cyclic adenosine monophosphate,Citric acid cycle,Abscisic acid
8327,"first isolated 1896 various proteins, hemoglobin, substance directly chelates iron, serving hold plane heme group.",A,Histidine,Hamiltonian (quantum mechanics),Group (mathematics),Georg Wilhelm Friedrich Hegel
8328,"disease comes two distinct types, milder strain induced bacteria genus shigella dangerous form transmitted amoeba entamoeba histolytica.",A,Dysentery,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Group (mathematics)
8330,"alfacon-1 widely used synthetic types molecules, but, like many them, disrupt serotonin uptake, causing migraine.",A,Interferon,Cholesterol,Niacin,Alcohol
8331,first isolated 1957 arthur kornberg colleagues.,B,Arrow's impossibility theorem,DNA polymerase I,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel
8332,"discovery hamilton smith, werner arber, daniel nathans led nobel prize physiology medicine.",D,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics),Restriction enzyme
204941,"one way calculating quantity hydration quinhydrone crystals, another method pioneered sorenson uses glass electrode.",B,Hamiltonian (quantum mechanics),PH,Georg Wilhelm Friedrich Hegel,Group (mathematics)
8335,extensive set located ovalbumin gene chickens.,D,Group (mathematics),Hamiltonian (quantum mechanics),Transcription (genetics),Intron
8336,"characteristics phylum include bundles longitudinal muscles epidermal layer, absence circular muscles.",D,Xylem,Zinc,Peroxisome,Nematode
204945,"researchers recently used array squids produce photons medium, electron interaction medium accounts small energy difference 2s 2p energy levels.",A,Vacuum,Don Giovanni,Group (mathematics),Hamiltonian (quantum mechanics)
106642,"case south american characoid fish, performed male order lure mate, male mouth-breeding cichlid fish use order fertilize eggs.",D,Group (mathematics),Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Mimicry
204947,value squared obtain larger number catalan's conjecture.,A,3 (number),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Group (mathematics)
106644,"formed hydrogenation olefins, aluminum chloride used catalyst isomerization compounds.",B,Group (mathematics),Alkane,Don Giovanni,Hamiltonian (quantum mechanics)
8341,parenchyma cells help form tissue grouped together form rays radiate horizontally.,A,Xylem,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
8343,"w. d. hamilton london school economics first developed theory, building earlier work wynne-edwards.",D,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics),Kin selection
8344,"dorothy hodgkin predicted core substance consists three carbons nitrogen atom, scientist john cornforth said correct, would ""give chemistry grow mushrooms.",A,Penicillin,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Group (mathematics)
8347,"physiologist first showed egg single cell eventually develops complex organism, also coined term ""metabolism.",C,Hamiltonian (quantum mechanics),Group (mathematics),Theodor Schwann,Hanseatic League
8348,"vulgaris form disease caused bacillus similar causes tuberculosis, produces ulcers spread eat away underlying tissues.",B,Hamiltonian (quantum mechanics),Lupus nephritis,Georg Wilhelm Friedrich Hegel,Group (mathematics)
8349,peter mitchell first enunciated mechanism action 1961.,B,Georg Wilhelm Friedrich Hegel,Electron transport chain,Group (mathematics),Hamiltonian (quantum mechanics)
8350,"like thymus, gland larger children begins shrink onset puberty.",A,Pineal gland,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Group (mathematics)
8351,"produced oxidation tyrosine tryptophan (trip-toe-fan), therefore production inhibited patients suffering phenylketonuria (fee-null-key-toe-noo-ree-ah) hydroxylation tyrosine inhibited elevated phenylalanine (fee-null-al-ah-neen) levels.",A,Melanin,Group (mathematics),Don Giovanni,Hamiltonian (quantum mechanics)
8352,"similar hemoglobins, compounds carbon-hydrogen phytol chain attached porphyrin ring surrounding central magnesium atom.",C,Group (mathematics),Hamiltonian (quantum mechanics),Chlorophyll a,Georg Wilhelm Friedrich Hegel
8353,"given newborns prevent hemorraghic disease, one form synthesized bacteria human colon.",D,Group (mathematics),Hamiltonian (quantum mechanics),Don Giovanni,Vitamin K
8354,functions include inhibiting seed germination halting transpiration droughts.,A,Abscisic acid,Cholesterol,Chlorophyll,Microtubule
106673,"luma assay uses chemiluminescent methods detect process, bisulfite treatment pyrosequencing also used detect it.",C,Transcription (genetics),Hamiltonian (quantum mechanics),DNA methylation,Group (mathematics)
8372,"process, set motion variety external internal stimuli, recognized 1972 researchers kerr, wyllie, currie differentiated counterpart.",A,Apoptosis,Alzheimer's disease,Microtubule,Cholesterol
8373,langhan's cells present outermost five layers * still somewhat unknown function.,C,Group (mathematics),Georg Wilhelm Friedrich Hegel,Epidermis (skin),Hamiltonian (quantum mechanics)
8376,"enzymes used process include hexokinase, enolase, aldolase.",D,Acetylcholine,Cholesterol,Niacin,Glycolysis
106682,"periods early years saw sonoman marathon orogenies, later years sphenycodontia evolved form early therapsids.",A,Permian,Group (mathematics),Johann Wolfgang von Goethe,Hamiltonian (quantum mechanics)
204987,"goatsbeard plants genus tragopogon model one form process, involves formation autopolyploid allopolyploid organisms.",D,Group (mathematics),Hamiltonian (quantum mechanics),Johann Wolfgang von Goethe,Speciation
8380,h+ ions used create charge gradient.,A,Electron transport chain,Hamiltonian (quantum mechanics),G. E. Moore,Group (mathematics)
8381,"structurally similar another famous homo-polysacharride, though case glucose replaced 2-deoxy-2acetamido-d-glucose, subsatnce comprises nearly 50% dry weight certain species fungi.",B,Group (mathematics),Chitin,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
204992,concentration substance blood measured bun levels.,B,Transcription (genetics),Urea,Hamiltonian (quantum mechanics),Group (mathematics)
8385,"connected cell membrane, called episomes.",A,Plasmid,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics)
8386,wild plants islands pacific coast canada demonstrate phenomenon range seed size much smaller range wild plants canadian mainland.,A,Founder effect,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Group (mathematics)
8387,"synthetic versions compounds, 2,4,5-trichlorophenoxy acetic acid, active ingredient agent orange.",C,Transcription (genetics),Hamiltonian (quantum mechanics),Auxin,Group (mathematics)
8388,"diseases caused defects include hyperoxaluria, refsum's disease, zellweger syndrome.",C,Glycogen,Alcohol,Peroxisome,Niacin
106693,"ovaries, structure second common site malignant germinomas, fra-2 protein controls ngfb-1 expression structure.",A,Pineal gland,Transcription (genetics),Group (mathematics),Hamiltonian (quantum mechanics)
8390,"first isolated milk protein casein 1902, compound act fluorescent marker proteins contain it.",A,Tryptophan,Hamiltonian (quantum mechanics),Group (mathematics),Georg Wilhelm Friedrich Hegel
8391,"used manufacture medical gloves trap pollutants smokestacks, zymogram used examine results enzyme separation process, nobel prize discoverer, arne tiselius.",C,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Gel electrophoresis,Group (mathematics)
106698,objects exhibit quadratic transverse doppler shift known shklovskii effect.,A,Pulsar,Stark effect,Doppler effect,Cherenkov radiation
8395,"discovery group substances influenced earlier experiments charles darwin, boysen-jensen, paal.",C,Georg Wilhelm Friedrich Hegel,Group (mathematics),Auxin,Hamiltonian (quantum mechanics)
8396,surrounded single membrane called tonoplast.,C,Georg Wilhelm Friedrich Hegel,Group (mathematics),Vacuole,Hamiltonian (quantum mechanics)
8397,"scientists recently discovered multiple sclerosis carry antibodies infectious agent, cell receptors appear remarkably conserved.",A,Epstein-Barr virus,Hamiltonian (quantum mechanics),Group (mathematics),Georg Wilhelm Friedrich Hegel
8398,defects class enzymes result bloom's syndrome werner syndrome.,D,Don Giovanni,Group (mathematics),Hamiltonian (quantum mechanics),Helicase
8399,"main pathway synthesis one-step reaction catalyzed serine hydroxymethyltransferase, involves transfer hydroxymethyl group serine cofactor tetrahydrofolate, producing n,n-methylene-thf.",A,Glycine,Johann Wolfgang von Goethe,Group (mathematics),Hamiltonian (quantum mechanics)
8400,"divided medial zone, intermediate zone, lateral zone, flocculonodular zone; dispersed throughout zones namesake olivo-, cuneo-, ponto-, vestibulofibers.",C,Venice,Cholera,Cerebellum,Convection
8401,first identified frederick addicott 1963 originally called dormin since thought play role bud dormancy.,C,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Abscisic acid,Group (mathematics)
8402,pulmonate gastropods one two taxa discussed original proposal.,C,Hamiltonian (quantum mechanics),Group (mathematics),Punctuated equilibrium,Don Giovanni
8403,genome sequencing isolate edl933 recently completed university wisconsin-madison.,B,Group (mathematics),Escherichia coli,Hamiltonian (quantum mechanics),Don Giovanni
8404,"discovered 1950 rene de duve, mannose-6-phosphate tags molecules destined it.",B,Cholesterol,Lysosome,Acetylcholine,Glycogen
8405,two sexes organism: self-fertilizing hermaphrodite male.,B,Hamiltonian (quantum mechanics),Caenorhabditis elegans,Don Giovanni,Group (mathematics)
8406,"photosynthetic bacteria build version enzyme contains two chains, yet functions well plant version contains 8 large chains 8 small chains.",A,RuBisCO,Polymerase chain reaction,Adenosine triphosphate,Infrared spectroscopy
8408,"outermost component separated two layers, create trigeminal cave meckel containing ganglion gasser.",C,Group (mathematics),Transcription (genetics),Meninges,Hamiltonian (quantum mechanics)
8409,young plants formed activity apical meristem.,D,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Phloem
8410,"obtained doctorate dissertation theory practice staining animal tissues later showed dyes used classified basic, acid, neutral.",A,Paul Ehrlich,Hamiltonian (quantum mechanics),Group (mathematics),Georg Wilhelm Friedrich Hegel
8411,"second third steps biochemical reaction, enzyme aconitase promotes dehydration first product, yielding cis-aconitate, isocitrate.",C,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Citric acid cycle,Group (mathematics)
8412,"marsupials distinguished lack structure, patients suffering adhd bulk slightly diminished.",A,Corpus callosum,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Group (mathematics)
8415,infertility one two common complaints leading diagnosis.,A,Klinefelter syndrome,Transcription (genetics),Hamiltonian (quantum mechanics),Group (mathematics)
8417,"process occur, several slime molds, plasmodium results.",A,Cytokinesis,Clarinet,Hamiltonian (quantum mechanics),Group (mathematics)
8440,"activated plasma protein angiotensin ii acts organs, stimulating release hormone stimulates reabsorption sodium, increasing blood volume blood pressure.",B,Group (mathematics),Adrenal gland,Hamiltonian (quantum mechanics),Transcription (genetics)
8441,"biphasic substance damages neurons superior frontal cortex, purkinje cells cerebellum, pyramidal cells hippocampus.",A,Alcohol,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Group (mathematics)
8442,"term regions coined 1936 horticulturalist cyril dean darlington, research shows surprising lack conservation organisms.",C,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Centromere,Group (mathematics)
8443,among vertebrates appears small number marsupials primates.,B,Hamiltonian (quantum mechanics),Vermiform appendix,Georg Wilhelm Friedrich Hegel,Group (mathematics)
8444,dominant phylum late precambrian period.,C,Retina,Xylem,Cnidaria,Sponge
8446,"divided three types: sporadic, iatrogenic, genetic.",A,Creutzfeldt-Jakob disease,Don Giovanni,Hamiltonian (quantum mechanics),Group (mathematics)
8447,"amanitoxin poisonous mushrooms affects humans inhibiting enzyme, three eukaryotic varieties one prokaryotic.",A,RNA polymerase,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Group (mathematics)
8448,"employs headful packaging genome replicating, directed site known cos [koss], named contains cohesive ends allow connect 48 kilobase linear chromosome circle.",A,Lambda phage,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Group (mathematics)
8450,"namesake enzyme generally found unicellular eukaryotes cells germline, including embryonic stem cells.",A,Telomere,Mitochondrion,Actin,Collagen
205060,"allylic rearrangement occurs sn1 substitution shifts position structure, forbidden bridgeheads ring systems according bredt's rule.",A,Double bond,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Group (mathematics)
8453,"1995 scientists ohio state discovered possess property called ""homing.",C,Arrow's impossibility theorem,Hamiltonian (quantum mechanics),Intron,Georg Wilhelm Friedrich Hegel
8454,"precursor group compounds present endosperm germinating seeds, moves root tip germinating stimulate mitosis.",A,Cytokine,Group (mathematics),Don Giovanni,Hamiltonian (quantum mechanics)
8455,actively attack pathogens alert cells pathogens presence body.,D,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics),Interferon
8457,"reaction center, take form either p680 p700, wavelength difference 20 nanometers depends proteins surround it.",B,Group (mathematics),Chlorophyll a,Don Giovanni,Hamiltonian (quantum mechanics)
8461,"lower animals, begins involution vegetal pole dorsal lip.",B,Hamiltonian (quantum mechanics),Gastrulation,Group (mathematics),Georg Wilhelm Friedrich Hegel
8464,recently discovered neuronal form molecule controls developmental loss axon regeneration.,A,Cyclic adenosine monophosphate,Alzheimer's disease,Tay-Sachs disease,Abscisic acid
8465,"integration occurs via proteins int ihf, bind site att build intrasome.",C,Group (mathematics),Georg Wilhelm Friedrich Hegel,Lambda phage,Hamiltonian (quantum mechanics)
205074,"pascal's theorem concerns figure formed choosing many points conic section, value larger number first ruth-aaron pair.",C,Hamiltonian (quantum mechanics),Group (mathematics),6 (number),Georg Wilhelm Friedrich Hegel
8467,"first diagnosed describing patient cherry-red spot retina, disease affects production lysosomal enzyme hexosaminidase a.",C,Hamiltonian (quantum mechanics),Group (mathematics),Tay-Sachs disease,G. E. Moore
8468,hormone composed nine amino acids proline-arginine-glycine tail branching ring structure.,D,Collagen,Mitochondrion,Actin,Vasopressin
8469,w. d. hamilton john jaenike among earliest proponents idea.,C,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Red Queen hypothesis,Group (mathematics)
106775,advanced glycation endproducts reaction implicated progression alzheimers disease collagen crosslinking associated aging.,D,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Group (mathematics),Maillard reaction
8472,"compound consists b chains linked together three disulfide bonds, conserved species, particularly c-terminal residues b chain.",A,Insulin,Cholesterol,Citric acid cycle,Microtubule
8473,"condition created artificially treatment colchicine, drug prevents formation spindle.",A,Polyploid,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
8474,"square planar compound preferentially reacts nitrogen seven two adjacent guanine nucleotides dna strand, leading inhibition dna repair cell death.",C,Georg Wilhelm Friedrich Hegel,Group (mathematics),Cisplatin,Hamiltonian (quantum mechanics)
205083,bistartratocuprate(ii) complexes oxidize compounds induce red copper(i) oxide precipitate fehling's solution.,A,Aldehyde,Don Giovanni,Group (mathematics),Hamiltonian (quantum mechanics)
8476,members belonging family hormones diterpenes synthesized acetyl coa via mevalonic acid pathway.,C,Amino acid,Niacin,Gibberellin,Alcohol
205085,predisposition strokes caused one variant protein named lepore.,A,Hemoglobin,Group (mathematics),Hamiltonian (quantum mechanics),Don Giovanni
8478,alpha interferon blocks introduction agent via miller-hutt-fletcher process preventing cap formation binding gp350/220 c3dg receptor host.,B,Group (mathematics),Epstein-Barr virus,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel
205087,"kaili biota formed fifth stage time period, one group fossilized remains time period orsten fauna, notable well preserved, soft-body remains.",D,Hamiltonian (quantum mechanics),Don Giovanni,Group (mathematics),Cambrian
8480,"broken skatole indole, main cause foul stench feces.",C,Hamiltonian (quantum mechanics),Group (mathematics),Tryptophan,Don Giovanni
8481,surface contains middle line accommodates basilar artery.,D,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Group (mathematics),Pons
8482,organelles particularly abundant renal proximal convoluted tubule cells liver parenchyma cells.,A,Peroxisome,Mitochondrion,Collagen,Liver
8483,"vitro, deficiency compound causes reduced acetylcholine synthesis.",D,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Thiamine
8484,"dense fibrillar component organelle thought location synthesis rdna, later expands form structure.",C,Group (mathematics),Transcription (genetics),Nucleolus,Hamiltonian (quantum mechanics)
8485,overproduction endolymph organ lead condition know meniere's disease.,A,Organ of Corti,Don Giovanni,Group (mathematics),Hamiltonian (quantum mechanics)
8486,"make molecule, bactoprenol chauffeurs n-acetylglucosamine n-acetylmuramic acid membrane.",A,Peptidoglycan,Hamiltonian (quantum mechanics),Group (mathematics),Georg Wilhelm Friedrich Hegel
106815,"body primary home so-called dark ray craters, concentrated trailing hemisphere synchronously orbiting body.",C,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Ganymede (moon),Group (mathematics)
